#timestamp [ns],p_x [m],p_y [m],p_z [m],q_w,q_x,q_y,q_z,v_x [m/s],v_y [m/s],v_z [m/s],bg_x,bg_y,bg_z,ba_x,ba_y,ba_z
1764839834658173200,-4.605054879,44.026858564,-0.000000001,0.137065110,-0.000000000,0.000000000,-0.990562040,0.004092414,-0.000824929,0.000000427,0.0,0.0,0.0,0.0,0.0,0.0
1764839834683048713,-4.605066542,44.026860920,-0.000000001,0.137073203,-0.000000000,0.000000000,-0.990560920,0.004000479,0.001123759,0.000000540,0.0,0.0,0.0,0.0,0.0,0.0
1764839834708050267,-4.605074777,44.026880684,0.000000002,0.137075529,0.000000000,-0.000000000,-0.990560599,0.004058157,-0.002023132,-0.000000247,0.0,0.0,0.0,0.0,0.0,0.0
1764839834733501015,-4.605015905,44.026790452,-0.000000003,0.137065456,-0.000000000,0.000000000,-0.990561992,0.004097406,0.000963288,-0.000000171,0.0,0.0,0.0,0.0,0.0,0.0
1764839834758321997,-4.605001685,44.026745101,-0.000000005,0.137061795,-0.000000000,-0.000000000,-0.990562499,0.003950377,0.002096971,0.000000138,0.0,0.0,0.0,0.0,0.0,0.0
1764839834783171293,-4.605073365,44.026624362,-0.000000001,0.137054044,-0.000000000,-0.000000000,-0.990563571,0.005768155,0.003313838,-0.000000038,0.0,0.0,0.0,0.0,0.0,0.0
1764839834807859224,-4.605099696,44.026599197,-0.000000006,0.137050911,-0.000000000,-0.000000000,-0.990564005,0.006505254,0.001464809,0.000000276,0.0,0.0,0.0,0.0,0.0,0.0
1764839834833566031,-4.604993816,44.026555765,-0.000000004,0.137049622,-0.000000000,-0.000000000,-0.990564183,0.005414274,0.000125743,-0.000000077,0.0,0.0,0.0,0.0,0.0,0.0
1764839834857927472,-4.604946370,44.026531486,-0.000000004,0.137051219,-0.000000000,-0.000000000,-0.990563962,0.004547327,0.000606477,-0.000000241,0.0,0.0,0.0,0.0,0.0,0.0
1764839834882962820,-4.604978123,44.026481025,-0.000000000,0.137050824,-0.000000000,-0.000000000,-0.990564017,0.005136609,-0.000433237,-0.000000576,0.0,0.0,0.0,0.0,0.0,0.0
1764839834907948879,-4.604947297,44.026460267,-0.000000007,0.137048468,-0.000000000,-0.000000000,-0.990564343,0.004957670,0.002019921,0.000000464,0.0,0.0,0.0,0.0,0.0,0.0
1764839834933565524,-4.604851692,44.026468227,-0.000000003,0.137048203,-0.000000000,-0.000000000,-0.990564380,0.004204515,-0.000027457,0.000000031,0.0,0.0,0.0,0.0,0.0,0.0
1764839834957916017,-4.604844237,44.026485311,-0.000000002,0.137049285,-0.000000000,-0.000000000,-0.990564230,0.004549757,-0.001646182,-0.000000228,0.0,0.0,0.0,0.0,0.0,0.0
1764839834982993676,-4.604933601,44.026476356,0.000000001,0.137050502,-0.000000000,-0.000000000,-0.990564061,0.006455590,-0.004031345,-0.000001204,0.0,0.0,0.0,0.0,0.0,0.0
1764839835007871865,-4.604864441,44.026450021,-0.000000005,0.137043228,-0.000000000,-0.000000000,-0.990565068,0.005767877,0.002810380,0.000000561,0.0,0.0,0.0,0.0,0.0,0.0
1764839835034003139,-4.604742082,44.026483138,0.000000001,0.137045904,-0.000000000,-0.000000000,-0.990564698,0.004411572,0.000417853,0.000000359,0.0,0.0,0.0,0.0,0.0,0.0
1764839835057959928,-4.604714275,44.026499769,0.000000003,0.137046098,-0.000000000,-0.000000000,-0.990564671,0.004202077,-0.000969134,-0.000000097,0.0,0.0,0.0,0.0,0.0,0.0
1764839835083386255,-4.604707388,44.026533309,0.000000001,0.137054514,0.000000000,-0.000000000,-0.990563506,0.003605614,-0.002363536,-0.000000181,0.0,0.0,0.0,0.0,0.0,0.0
1764839835107859550,-4.604671331,44.026500296,0.000000003,0.137053005,-0.000000000,-0.000000000,-0.990563715,0.003100400,0.000996500,-0.000000077,0.0,0.0,0.0,0.0,0.0,0.0
1764839835133587596,-4.604671046,44.026472475,0.000000002,0.137056183,0.000000000,0.000000000,-0.990563276,0.003494588,-0.000035959,-0.000000122,0.0,0.0,0.0,0.0,0.0,0.0
1764839835157965735,-4.604691651,44.026426191,-0.000000003,0.137060294,-0.000000000,-0.000000000,-0.990562707,0.004215100,0.003283257,0.000000329,0.0,0.0,0.0,0.0,0.0,0.0
1764839835183002686,-4.604718543,44.026343564,-0.000000006,0.137054033,-0.000000000,-0.000000000,-0.990563573,0.004636374,0.003351010,0.000000785,0.0,0.0,0.0,0.0,0.0,0.0
1764839835207917279,-4.604733037,44.026276192,-0.000000000,0.137051350,-0.000000000,-0.000000000,-0.990563944,0.004987054,0.001102743,-0.000000282,0.0,0.0,0.0,0.0,0.0,0.0
1764839835233899510,-4.604681039,44.026207938,-0.000000001,0.137048336,-0.000000000,-0.000000000,-0.990564361,0.004419014,0.001829039,-0.000000214,0.0,0.0,0.0,0.0,0.0,0.0
1764839835257864647,-4.604640096,44.026139864,-0.000000004,0.137046135,-0.000000000,-0.000000000,-0.990564666,0.003726825,0.004432039,0.000000509,0.0,0.0,0.0,0.0,0.0,0.0
1764839835282969935,-4.604682797,44.026054567,-0.000000005,0.137044798,-0.000000000,-0.000000000,-0.990564851,0.004546078,0.004208388,0.000000779,0.0,0.0,0.0,0.0,0.0,0.0
1764839835307940034,-4.604710939,44.026016191,-0.000000002,0.137050416,-0.000000000,-0.000000000,-0.990564073,0.005212953,0.000944621,-0.000000226,0.0,0.0,0.0,0.0,0.0,0.0
1764839835333512888,-4.604653926,44.025980655,-0.000000002,0.137054945,-0.000000000,-0.000000000,-0.990563447,0.005186211,0.000584746,-0.000000124,0.0,0.0,0.0,0.0,0.0,0.0
1764839835357882719,-4.604621992,44.025919938,-0.000000003,0.137055844,-0.000000000,-0.000000000,-0.990563322,0.004985435,0.002717006,-0.000000098,0.0,0.0,0.0,0.0,0.0,0.0
1764839835383055432,-4.604627546,44.025902546,-0.000000001,0.137066268,-0.000000000,-0.000000000,-0.990561880,0.004925610,0.001515503,0.000000082,0.0,0.0,0.0,0.0,0.0,0.0
1764839835408006596,-4.604646389,44.025894392,-0.000000002,0.137072702,-0.000000000,-0.000000000,-0.990560990,0.005721226,0.000359241,0.000000094,0.0,0.0,0.0,0.0,0.0,0.0
1764839835433538445,-4.604532800,44.025888447,-0.000000003,0.137074217,-0.000000000,-0.000000000,-0.990560780,0.004542149,0.001188294,0.000000362,0.0,0.0,0.0,0.0,0.0,0.0
1764839835457872063,-4.604475141,44.025864736,0.000000001,0.137076713,-0.000000000,-0.000000000,-0.990560435,0.003594319,0.000689336,-0.000000414,0.0,0.0,0.0,0.0,0.0,0.0
1764839835483113586,-4.604524509,44.025789792,0.000000004,0.137074710,-0.000000000,-0.000000000,-0.990560712,0.004696077,0.002612615,-0.000000139,0.0,0.0,0.0,0.0,0.0,0.0
1764839835508075117,-4.604565888,44.025760414,-0.000000001,0.137076275,-0.000000000,0.000000000,-0.990560495,0.005758181,0.001471995,0.000000200,0.0,0.0,0.0,0.0,0.0,0.0
1764839835533620524,-4.604496095,44.025712779,-0.000000000,0.137071829,-0.000000000,-0.000000000,-0.990561111,0.004877580,0.001345913,-0.000000029,0.0,0.0,0.0,0.0,0.0,0.0
1764839835557895570,-4.604429030,44.025643390,-0.000000000,0.137068047,-0.000000000,-0.000000000,-0.990561634,0.003483282,0.003357779,-0.000000251,0.0,0.0,0.0,0.0,0.0,0.0
1764839835582984954,-4.604468972,44.025549815,0.000000003,0.137070629,-0.000000000,-0.000000000,-0.990561277,0.004099912,0.004359605,0.000000016,0.0,0.0,0.0,0.0,0.0,0.0
1764839835607869520,-4.604529606,44.025527012,-0.000000003,0.137076115,0.000000000,0.000000000,-0.990560518,0.005302032,0.001180548,0.000000244,0.0,0.0,0.0,0.0,0.0,0.0
1764839835633523692,-4.604525724,44.025453759,-0.000000004,0.137078487,-0.000000000,-0.000000000,-0.990560189,0.005868432,0.001660845,-0.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1764839835657861518,-4.604559673,44.025411816,-0.000000001,0.137083787,-0.000000000,-0.000000000,-0.990559456,0.006692531,0.000203806,-0.000000593,0.0,0.0,0.0,0.0,0.0,0.0
1764839835682997774,-4.604580144,44.025322128,-0.000000001,0.137086173,-0.000000000,-0.000000000,-0.990559125,0.006777071,0.002402862,-0.000000350,0.0,0.0,0.0,0.0,0.0,0.0
1764839835707869251,-4.604555696,44.025264813,-0.000000004,0.137084121,-0.000000000,-0.000000000,-0.990559409,0.006960337,0.003627395,0.000000215,0.0,0.0,0.0,0.0,0.0,0.0
1764839835733475527,-4.604446104,44.025195185,-0.000000003,0.137079626,-0.000000000,-0.000000000,-0.990560032,0.006483146,0.005395367,0.000000636,0.0,0.0,0.0,0.0,0.0,0.0
1764839835757852153,-4.604385746,44.025167858,0.000000006,0.137075400,0.000000000,0.000000000,-0.990560616,0.005841158,0.000650673,-0.000000929,0.0,0.0,0.0,0.0,0.0,0.0
1764839835783018885,-4.604344598,44.025114063,0.000000002,0.137076075,0.000000000,0.000000000,-0.990560523,0.005158264,0.000346049,-0.000000856,0.0,0.0,0.0,0.0,0.0,0.0
1764839835807879972,-4.604285851,44.025083686,-0.000000003,0.137075106,-0.000000000,-0.000000000,-0.990560657,0.004893435,0.003337163,0.000000345,0.0,0.0,0.0,0.0,0.0,0.0
1764839835833590152,-4.604143406,44.025060532,-0.000000002,0.137077005,-0.000000000,-0.000000000,-0.990560394,0.003445572,0.005498475,0.000001185,0.0,0.0,0.0,0.0,0.0,0.0
1764839835857850717,-4.604098538,44.025065126,0.000000012,0.137081020,0.000000000,0.000000000,-0.990559839,0.003080361,-0.000762808,-0.000001182,0.0,0.0,0.0,0.0,0.0,0.0
1764839835882973514,-4.604112441,44.024991772,0.000000003,0.137083359,0.000000000,0.000000000,-0.990559515,0.003958369,0.000660826,-0.000000440,0.0,0.0,0.0,0.0,0.0,0.0
1764839835907913125,-4.604040281,44.024971532,0.000000000,0.137080045,0.000000000,0.000000000,-0.990559974,0.003290227,0.002978163,0.000000160,0.0,0.0,0.0,0.0,0.0,0.0
1764839835933722582,-4.604000889,44.024922299,0.000000003,0.137079831,0.000000000,0.000000000,-0.990560003,0.004014027,0.003483786,0.000000090,0.0,0.0,0.0,0.0,0.0,0.0
1764839835958008499,-4.603991897,44.024921615,0.000000003,0.137082454,0.000000000,0.000000000,-0.990559640,0.004470416,0.001875666,0.000000380,0.0,0.0,0.0,0.0,0.0,0.0
1764839835983046817,-4.603982454,44.024846043,0.000000001,0.137082206,0.000000000,0.000000000,-0.990559675,0.004895577,0.002154787,0.000000027,0.0,0.0,0.0,0.0,0.0,0.0
